file	line	sentence	source_scope	source_sha256	paragraph_id	paragraph_thesis	sentence_role	link_to_previous	support_status	support_or_revision
paper/online_experiments.tex	6	We evaluate whether the measured costs support useful compilation decisions across different arrival and verification patterns.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D00	Summarize common simulation conditions, varied assumptions, and separate cost/success reporting.	Pose the evaluation question.	Links the measured account to useful online compilation choices.	SUPPORTED	Frozen study varies recurrence/admission with supplied profiles, not new GUI costs.
paper/online_experiments.tex	7	Every policy uses the same serve-then-decide simulator, three completed agent runs before eligibility, program-residency rule, and accounting boundaries.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D00	Summarize common simulation conditions, varied assumptions, and separate cost/success reporting.	Define the common protocol.	Specifies the controlled comparison for the question in 6.	SUPPORTED	Shared serve-before-compile engine, demos>=3 including fallback, TTL, and accounting.
paper/online_experiments.tex	8	The main comparisons vary recurrence and verification, while the sensitivity tests vary deployment assumptions and missing failure-cost estimates.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D00	Summarize common simulation conditions, varied assumptions, and separate cost/success reporting.	Summarize varied conditions.	Distinguishes study axes from fixed conditions in 7.	SUPPORTED	63 base plus 42 deployment and four GLM failure-price sensitivity cells.
paper/online_experiments.tex	9	We report token cost and task success separately.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D00	Summarize common simulation conditions, varied assumptions, and separate cost/success reporting.	Define separate cost and quality reporting.	States how the choices in 6-8 are assessed.	SUPPORTED	Pure token_cost and success_rate are distinct outputs.
paper/online_experiments.tex	15	The profiles contain the seven measured families for GLM and DeepSeek and the six retained families for Qwen.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D01	Specify measured and imputed cost profiles and observed agent success probabilities.	Define model/profile coverage.	Begins the design with the measured inputs.	SUPPORTED	Frozen profiles contain 7 GLM, 7 DeepSeek and 6 Qwen families.
paper/online_experiments.tex	16	The refused Qwen web request provides no cost profile.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D01	Specify measured and imputed cost profiles and observed agent success probabilities.	Explain missing Qwen coverage.	Accounts for the six rather than seven profiles in 15.	SUPPORTED	Web provider refusal left no measurement row.
paper/online_experiments.tex	17	For a verified cell, we retain its measured agent cost, program cost, program failure fraction, and successful compilation cost.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D01	Specify measured and imputed cost profiles and observed agent success probabilities.	Retain observed admitted-program quantities.	Defines the measured branch of the profiles in 15.	SUPPORTED	c,d,q,C come from admitted rows.
paper/online_experiments.tex	18	For a cell without a verified program, its unobserved successful-program quantities use the same model's median over verified cells.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D01	Specify measured and imputed cost profiles and observed agent success probabilities.	Define absent-program imputations.	Covers non-admitted cells left outside 17.	SUPPORTED	C,d,q use per-field medians over the same model's admitted cells.
paper/online_experiments.tex	19	The simulation records each substituted field.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D01	Specify measured and imputed cost profiles and observed agent success probabilities.	Record each substitution.	Makes the imputation in 18 traceable.	SUPPORTED	Frozen profiles retain imputed and origins fields.
paper/online_experiments.tex	20	The agent success probability is the cell's observed number of successful exploration attempts divided by all completed exploration attempts, including failures.	whole file, design prose before the result subsections	15932751235adb2004fb5287c43aa661873b030e80a22a7314d0868169d800d2	D01	Specify measured and imputed cost profiles and observed agent success probabilities.	Define the agent success probability.	Completes the profile by adding the quality quantity to the costs in 17-19.	SUPPORTED	pi=agent_successes/n_exploration_episodes; denominator includes unsuccessful completed attempts.
