file	lines	paragraph_main_point	sentence_role	connection_to_previous	connection_to_next	evidence	issue_or_action	sentence_or_table_unit
paper/online_experiments.tex	87	GLM favors early compilation under its supplied prices	Introduces main aggregate comparison	Opens results by naming model profiles and verification as comparison dimensions.	Quantifies the full rule before comparing alternatives.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates z-ai/glm-5.3-flash/*	Supported; subsection begins with a summary of what the table compares.	Table~\ref{tab:policysim} shows how the cost comparison changes across the three model profiles and verification scenarios.
paper/online_experiments.tex	88	GLM favors early compilation under its supplied prices	Reports full-rule range	Quantifies the full rule before comparing alternatives.	Provides the comparator for the same three seven-stream averages.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates z-ai/glm-5.3-flash/*	0.405202834 to0.490428421 rounds to0.405-0.490.	For GLM, the full rule's mean normalized cost ranges from $0.405$ to $0.490$ across the three verification scenarios.
paper/online_experiments.tex	89	GLM favors early compilation under its supplied prices	Reports lower eager-rule costs	Provides the comparator for the same three seven-stream averages.	Names high use savings and assumed C_fail=C that accompany those results.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates z-ai/glm-5.3-flash/*	0.380947463 to0.466599879; earliest is lower in all three corresponding aggregates.	Earliest compilation costs less in each corresponding seven-stream average, at $0.381$ to $0.467$.
paper/online_experiments.tex	90	GLM favors early compilation under its supplied prices	Interprets supplied profile conditions	Names high use savings and assumed C_fail=C that accompany those results.	Connects later compilation to higher cost in the preceding comparison.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates z-ai/glm-5.3-flash/*	Correct scenario description; equal failed price is an assumption, not measured GLM failure cost.	These profiles combine large serving savings with the equal-cost assumption for unsuccessful attempts.
paper/online_experiments.tex	91	GLM favors early compilation under its supplied prices	States conditional interpretation	Connects later compilation to higher cost in the preceding comparison.	Moves from GLM to the high failed-cost DeepSeek profile.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates z-ai/glm-5.3-flash/*	Supported as a local policy-comparison interpretation; not an independently isolated waiting-time causal effect.	The comparison shows a cost of delaying compilation under those conditions.
paper/online_experiments.tex	95	DeepSeek outcomes depend strongly on assumed verification	Introduces different failed-attempt prices	Moves from GLM to the high failed-cost DeepSeek profile.	Quantifies eager and full costs under that high-failure-price setting.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates deepseek/deepseek-v4-flash-vision-exp/*	Observed complete-failure median2.5026m, used for missing admitted-family failed prices; described earlier.	The DeepSeek profiles make unsuccessful attempts much more expensive.
paper/online_experiments.tex	96	DeepSeek outcomes depend strongly on assumed verification	Reports outcome-replay contrast	Quantifies eager and full costs under that high-failure-price setting.	Interprets improvement over earliest without hiding loss versus reactive.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates deepseek/deepseek-v4-flash-vision-exp/*	5.943267924 and1.249350957 match.	Under outcome replay, earliest compilation costs $5.943$ times agent-only service on average, while the full rule costs $1.249$ times agent-only service.
paper/online_experiments.tex	97	DeepSeek outcomes depend strongly on assumed verification	Acknowledges benefit and remaining loss	Interprets improvement over earliest without hiding loss versus reactive.	Gives the corresponding uniform-p result on unchanged cost profiles.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates deepseek/deepseek-v4-flash-vision-exp/*	Full1.249 is below earliest5.943 but above1; no universal improvement claim.	The cost-informed rule avoids much of the early rule's expense but still loses to staying with the agent.
paper/online_experiments.tex	98	DeepSeek outcomes depend strongly on assumed verification	Changes assumed verification probability	Gives the corresponding uniform-p result on unchanged cost profiles.	Uses changed ranking/costs to show verification assumptions matter.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates deepseek/deepseek-v4-flash-vision-exp/*	Full0.770176303 and earliest0.927798657 match.	Under uniform $p=0.5$, the full rule instead costs $0.770$ of agent-only service, compared with $0.928$ for earliest compilation.
paper/online_experiments.tex	99	DeepSeek outcomes depend strongly on assumed verification	States scenario dependence	Uses changed ranking/costs to show verification assumptions matter.	Carries verification-dependence comparison to third model.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates deepseek/deepseek-v4-flash-vision-exp/*	Correct within simulation; no claim to measure true p or identify optimal decisions.	The same cost profiles therefore support different decisions when the assumed chance of obtaining a program changes.
