file	lines	paragraph_main_point	sentence_role	connection_to_previous	connection_to_next	evidence	issue_or_action	sentence_or_math_unit
paper/online_protocol.tex	5	Section overview: measured costs guide future compilation	States decision objective	Connects measured cost profiles to whether future tasks justify compilation.	Explains how the just-named decision is made.	revision_sim.py:67-73,91-179	Supported.	We use the measured costs to decide whether a family should be compiled for future tasks.
paper/online_protocol.tex	6	Section overview: measured costs guide future compilation	Summarizes serve-first mechanism	Explains how the just-named decision is made.	Adds recurrence, verification, failed spend, and residency to the basic comparison.	revision_sim.py:67-73,91-179	Wording risk: completes current task may imply success; engine completes an attempt and permits failure. Prefer serves current arrival.	The protocol first completes the current task, then compares projected reuse savings with the expected cost of obtaining a program.
paper/online_protocol.tex	7	Section overview: measured costs guide future compilation	Summarizes estimates and controls	Adds recurrence, verification, failed spend, and residency to the basic comparison.	Groups the listed mechanisms into derivation, references, and implemented rule.	revision_sim.py:67-73,91-179	Supported.	It updates recurrence and verification estimates from past observations, accounts for failed compilation spend, and removes idle programs from the routing manifest.
paper/online_protocol.tex	8	Section overview: measured costs guide future compilation	Maps the section	Groups the listed mechanisms into derivation, references, and implemented rule.	Starts the acquisition-cost derivation promised in the overview.	revision_sim.py:67-73,91-179	First paragraph summarizes the complete section.	We derive the cost comparison below, state two reference results under explicit assumptions, and then give the rule evaluated in Section~\ref{sec:eval}.
paper/online_protocol.tex	13	Expected acquisition cost and break-even ratio	Introduces deterministic break-even ratio	Starts the acquisition-cost derivation promised in the overview.	Identifies failed attempts as what the deterministic purchase omits.	revision_sim.py:22-23; independent geometric-cost derivation	B/s is a fractional break-even ratio; ceil(B/s) is the integer use threshold.	For a program with positive no-drift saving $s$ from Equation~\ref{eq:saving}, a deterministic compilation cost $B$ requires $B/s$ uses to pay back.
paper/online_protocol.tex	14	Expected acquisition cost and break-even ratio	Introduces uncertain acquisition	Identifies failed attempts as what the deterministic purchase omits.	Makes the failed-attempt model explicit before deriving its cost.	revision_sim.py:22-23; independent geometric-cost derivation	Supported.	The decision becomes less direct when attempts can fail.
paper/online_protocol.tex	15	Expected acquisition cost and break-even ratio	States retry assumptions	Makes the failed-attempt model explicit before deriving its cost.	Uses the preceding independent geometric-attempt assumption.	revision_sim.py:22-23; independent geometric-cost derivation	Assumption only; not an inferred empirical retry law.	Suppose attempts have independent outcomes with a fixed verification probability $p>0$ and continue until one succeeds.
paper/online_protocol.tex	16	Expected acquisition cost and break-even ratio	Derives expected failed count	Uses the preceding independent geometric-attempt assumption.	Multiplies the failed count by its conditional cost and divides total by positive serving saving.	revision_sim.py:22-23; independent geometric-cost derivation	E[failed attempts]=(1-p)/p.	The expected number of unsuccessful attempts is $(1-p)/p$.
paper/online_protocol.tex	17-23	Expected acquisition cost and break-even ratio	Defines expected acquisition spend and payback	Multiplies the failed count by its conditional cost and divides total by positive serving saving.	Simplifies the identity under an explicit sufficient condition.	revision_sim.py:22-23; independent geometric-cost derivation	Correct; excludes service between attempts and later replacements.	With successful-attempt cost $C$ and failed-attempt cost $C^{\mathrm{fail}}$, the expected spend is \begin{equation} B(p)=C+\left(\frac{1}{p}-1\right)C^{\mathrm{fail}}, \qquad N^*=\frac{B(p)}{(1-q)c-c^{\mathrm{prog}}}. \label{eq:breakeven-law} \end{equation}
paper/online_protocol.tex	24	Expected acquisition cost and break-even ratio	Gives equal-cost special case	Simplifies the identity under an explicit sufficient condition.	Explains why high serving saving need not imply short payback when p is small or C_fail large.	revision_sim.py:22-23; independent geometric-cost derivation	Corrected during review; old only-when wording omitted p=1.	If successful and failed attempts have the same cost, this account reduces to $C/p$.
paper/online_protocol.tex	25	Expected acquisition cost and break-even ratio	Interprets acquisition burden	Explains why high serving saving need not imply short payback when p is small or C_fail large.	Limits the economic interpretation to the assumed independent-retry model.	revision_sim.py:22-23; independent geometric-cost derivation	Supported by B(p)/s.	It shows why a large per-use saving can coexist with a long payback period when verification is rare or failed attempts are expensive.
paper/online_protocol.tex	27	Retry identity assumptions and accounting boundary	States identity scope	Limits the economic interpretation to the assumed independent-retry model.	Prevents reading that model as established by the repeated-build results.	body.tex:116-123,464-466; revision_sim.py:91-179	Supported.	Equation~\ref{eq:breakeven-law} is a cost identity under the independent-retry model.
paper/online_protocol.tex	28	Retry identity assumptions and accounting boundary	States measurement limitation	Prevents reading that model as established by the repeated-build results.	States the actual use of a model that measurement does not identify.	body.tex:116-123,464-466; revision_sim.py:91-179	Supported by body464-466.	The repeated measurements do not establish that model for real compilations.
paper/online_protocol.tex	29	Retry identity assumptions and accounting boundary	Connects identity to implementation	States the actual use of a model that measurement does not identify.	Separates acquisition spend from full stream expenditure.	body.tex:116-123,464-466; revision_sim.py:91-179	Supported by plug-in estimate and three p scenarios.	We use it to define an estimated acquisition cost in the protocol and vary the verification model in simulation.
paper/online_protocol.tex	30	Retry identity assumptions and accounting boundary	Names excluded cost terms	Separates acquisition spend from full stream expenditure.	Resolves the exclusions by pointing to service and attempt charges in the objective.	body.tex:116-123,464-466; revision_sim.py:91-179	Supported.	The identity also excludes agent service between attempts and replacement after GUI drift.
paper/online_protocol.tex	31	Retry identity assumptions and accounting boundary	Connects to full objective	Resolves the exclusions by pointing to service and attempt charges in the objective.	Moves from exclusions in one identity to what belongs in different audit questions.	body.tex:116-123,464-466; revision_sim.py:91-179	Supported.	The cumulative objective in Equation~\ref{eq:objective} charges both.
paper/online_protocol.tex	33	Marginal versus from-scratch cost boundary	Introduces decision-specific boundary	Moves from exclusions in one identity to what belongs in different audit questions.	Specifies why completed trace-producing agent runs are sunk at the online decision.	body.tex:123,187-191,408-411	Broad topic sentence but followed by concrete cases.	The relevant cost boundary depends on the question.
paper/online_protocol.tex	34	Marginal versus from-scratch cost boundary	States shared past-service premise	Specifies why completed trace-producing agent runs are sunk at the online decision.	Uses the sunk-cost premise to exclude past source service from additional compilation spend.	body.tex:123,187-191,408-411	Supported.	At an online decision, the source agent runs have already served tasks and are sunk costs shared with continued agent service.
paper/online_protocol.tex	35	Marginal versus from-scratch cost boundary	Derives marginal numerator	Uses the sunk-cost premise to exclude past source service from additional compilation spend.	Adds source acquisition when auditing total setup cost rather than making a current decision.	body.tex:123,187-191,408-411	Supported.	The marginal count therefore uses only the additional compilation spend.
paper/online_protocol.tex	36	Marginal versus from-scratch cost boundary	Defines from-scratch alternative	Adds source acquisition when auditing total setup cost rather than making a current decision.	Extends boundary differences to published serving baselines and evaluated task sets.	body.tex:123,187-191,408-411	Supported.	A from-scratch audit can instead include trace acquisition in the numerator.
paper/online_protocol.tex	37	Marginal versus from-scratch cost boundary	Compares published accounting scope	Extends boundary differences to published serving baselines and evaluated task sets.	Uses those boundary differences to justify per-family, explicit-boundary comparisons.	body.tex:123,187-191,408-411	Revised claim supported by AutoRPA AndroidWorld/MiniWoB/WebArena and CompiledAI BFCL/DocILE with Direct LLM baseline; parent citation audit supplies exact payback source scope.	Published payback figures also differ in the serving baseline and the evaluated task sets \citep{chen2026autorpa,trooskens2026compiledai}.
paper/online_protocol.tex	38	Marginal versus from-scratch cost boundary	States comparison practice	Uses those boundary differences to justify per-family, explicit-boundary comparisons.	Starts an idealized analysis after empirical accounting boundaries.	body.tex:123,187-191,408-411	Supported for this study; no numerical equivalence across publications claimed.	We compare per-family costs under explicit boundaries rather than treating those aggregate figures as interchangeable estimates.
paper/online_protocol.tex	43	Fixed-price reference assumptions	Introduces unknown-horizon reference	Starts an idealized analysis after empirical accounting boundaries.	Makes the unknown-horizon isolation concrete through known saving, existing traces, and deterministic purchase.	Theorem statement and independent proof in online-prose-review.md	If section-summary rule covers subsections, mention replacement too; opening only summarizes fixed-price analysis.	A fixed-price problem isolates the consequence of unknown future arrivals.
paper/online_protocol.tex	44	Fixed-price reference assumptions	States idealizations	Makes the unknown-horizon isolation concrete through known saving, existing traces, and deterministic purchase.	Names the established ski-rental setting under those idealizations.	Theorem statement and independent proof in online-prose-review.md	Supported as assumptions.	Assume the traces are available, the saving is known, and a working program can be obtained at a deterministic price.
paper/online_protocol.tex	45	Fixed-price reference assumptions	Connects to classical result	Names the established ski-rental setting under those idealizations.	Begins the formal theorem with the common program-use baseline.	Theorem statement and independent proof in online-prose-review.md	Independent derivation checked; no new theorem novelty claimed.	The classical ski-rental comparison then gives a threshold rule \citep{karlin1994competitive,borodin1998online}.
paper/online_protocol.tex	49	Fixed-price theorem statement	Defines costs and positive excess	Begins the formal theorem with the common program-use baseline.	Removes acquisition risk and drift from the reference before specifying a rule.	Independent discrete proof: k=ceil(B/s)-1	Supported under one detected fallback per failed use.	Consider a family with known agent cost $c$ and expected program-use cost $b=c^{\mathrm{prog}}+qc$, with $s=c-b>0$.
paper/online_protocol.tex	50	Fixed-price theorem statement	Defines availability and persistence	Removes acquisition risk and drift from the reference before specifying a rule.	Makes the baseline expected cost fixed across subsequent uses.	Independent discrete proof: k=ceil(B/s)-1	Explicitly differs from actual service chronology.	A working program is available at deterministic price $B>0$ before any arrival is served and remains usable afterward.
paper/online_protocol.tex	51	Fixed-price theorem statement	Specifies use randomness	Makes the baseline expected cost fixed across subsequent uses.	Introduces the state needed for a threshold policy.	Independent discrete proof: k=ceil(B/s)-1	Supported assumption.	Use failures are independent with probability $q$.
paper/online_protocol.tex	52	Fixed-price theorem statement	Defines accumulated excess	Introduces the state needed for a threshold policy.	Uses accumulated excess plus the next rental increment to decide buying.	Independent discrete proof: k=ceil(B/s)-1	After k rentals E=k*s.	Let $E$ be the excess cost already paid for agent service.
paper/online_protocol.tex	53	Fixed-price theorem statement	States before-service purchase threshold	Uses accumulated excess plus the next rental increment to decide buying.	Completes the policy definition when the threshold is not crossed.	Independent discrete proof: k=ceil(B/s)-1	Correct discrete threshold ceil(B/s), including B<s.	Before an arrival, obtain the program if $E+s\geq B$.
paper/online_protocol.tex	54	Fixed-price theorem statement	States rental branch	Completes the policy definition when the threshold is not crossed.	Concludes the rule with a comparator that knows horizon but not future failures.	Independent discrete proof: k=ceil(B/s)-1	New cumulative excess remains below B.	Otherwise, serve with the agent and update $E\gets E+s$.
paper/online_protocol.tex	55	Fixed-price theorem statement	States horizon-wise expected guarantee	Concludes the rule with a comparator that knows horizon but not future failures.	Shows why the theorem subtracts b from every arrival.	Independent discrete proof: k=ceil(B/s)-1	Correct: n<=k gives ALG=OPT; otherwise ALG=nb+ks+B<nb+2B<=2OPT.	For every unknown horizon $n$, this rule's expected cost is at most twice $nb+\min(ns,B)$, the optimum for a policy that knows $n$ but not future failure outcomes.
paper/online_protocol.tex	58	Fixed-price proof and no transfer to actual protocol	Explains excess-cost reduction	Shows why the theorem subtracts b from every arrival.	Uses the strict pre-purchase excess bound to limit rental plus purchase.	Independent discrete proof; revision_sim.py:134-179	Common expected baseline nb.	The comparison subtracts the common program-use cost $b$ from each arrival.
paper/online_protocol.tex	59	Fixed-price proof and no transfer to actual protocol	Bounds purchase case	Uses the strict pre-purchase excess bound to limit rental plus purchase.	Completes proof for streams ending before the buying arrival.	Independent discrete proof; revision_sim.py:134-179	k=ceil(B/s)-1 implies ks<B.	Before purchase, the rule has paid less than $B$ in excess agent cost, and the purchase adds $B$.
paper/online_protocol.tex	60	Fixed-price proof and no transfer to actual protocol	Handles no-purchase case	Completes proof for streams ending before the buying arrival.	Combines the proof cases and identifies why threshold is checked before serving.	Independent discrete proof; revision_sim.py:134-179	n<=k implies ns<B, so agent service is optimal.	If the stream ends before purchase, continued agent service is the cheaper choice.
paper/online_protocol.tex	61	Fixed-price proof and no transfer to actual protocol	Explains timing consequence	Combines the proof cases and identifies why threshold is checked before serving.	Prevents interpreting that timing statement as a guarantee for all later rules.	Independent discrete proof; revision_sim.py:134-179	After-service checking can overshoot B in rental excess.	This explains the factor-two bound and the need to check the threshold before serving the deciding arrival.
paper/online_protocol.tex	62	Fixed-price proof and no transfer to actual protocol	Restricts reference result	Prevents interpreting that timing statement as a guarantee for all later rules.	Names random attempts, estimated arrivals, and serve-first chronology as unproved extensions.	Independent discrete proof; revision_sim.py:134-179	Could merge with following sentence; retain boundary.	The result concerns this fixed-price reference rule.
paper/online_protocol.tex	63	Fixed-price proof and no transfer to actual protocol	Blocks unsupported guarantee transfer	Names random attempts, estimated arrivals, and serve-first chronology as unproved extensions.	Moves from unknown stream horizon to a program ending its useful life.	Independent discrete proof; revision_sim.py:134-179	Correct and necessary.	It does not establish a competitive ratio for random compilation attempts, estimated arrivals, or the serve-then-decide protocol below.
paper/online_protocol.tex	66	Drift and replacement comparison	Introduces invalidation limit	Moves from unknown stream horizon to a program ending its useful life.	Defines the response to invalidation before pricing it.	Replacement proposition	Supported.	GUI drift adds a second limit on repayment: a program can stop working before the task stream ends.
paper/online_protocol.tex	67	Drift and replacement comparison	Specifies replacement policy	Defines the response to invalidation before pricing it.	Formalizes the always-replace reference introduced above.	Replacement proposition	Immediate replacement after each detected break.	The following comparison prices replacement after every detected break.
paper/online_protocol.tex	71	Replacement cost proposition	Defines deterministic replacement purchase	Formalizes the always-replace reference introduced above.	Specifies cycle cost and the event that ends a cycle.	Independent renewal-reward calculation in online-prose-review.md	Supported assumption.	Suppose a working program can be obtained at deterministic price $B$ before an arrival.
paper/online_protocol.tex	72	Replacement cost proposition	Defines extraction cost and per-use hazard	Specifies cycle cost and the event that ends a cycle.	Includes the fallback caused by the break and the next acquisition.	Independent renewal-reward calculation in online-prose-review.md	Geometric lifetime with mean 1/h.	Every use incurs extraction cost $c^{\mathrm{prog}}$ and breaks the program with independent probability $h\in(0,1]$.
